Flow ID,Label
192.168.1.1 192.168.1.3 53048 20001 6,STOP_APP
192.168.1.11 192.168.1.4 60411 20002 6,STOP_APP
192.168.1.12 192.168.1.5 57558 20003 6,STOP_APP
192.168.1.2 192.168.1.4 46729 20000 6,NORMAL
192.168.1.2 192.168.1.5 51678 20000 6,NORMAL
192.168.1.2 192.168.1.3 51609 20000 6,NORMAL
192.168.1.11 192.168.1.9 34422 20002 6,DISABLE_UNSOLICITED
192.168.1.11 192.168.1.4 45060 20002 6,DISABLE_UNSOLICITED
192.168.1.11 192.168.1.8 39169 20002 6,DISABLE_UNSOLICITED
192.168.1.11 192.168.1.5 39574 20002 6,DISABLE_UNSOLICITED
192.168.1.11 192.168.1.3 33783 20002 6,DISABLE_UNSOLICITED
192.168.1.11 192.168.1.7 41065 20002 6,DISABLE_UNSOLICITED
192.168.1.11 192.168.1.10 36479 20002 6,DISABLE_UNSOLICITED
192.168.1.11 192.168.1.6 54308 20002 6,DISABLE_UNSOLICITED
192.168.1.6 192.168.1.11 20002 54308 6,DISABLE_UNSOLICITED
192.168.1.12 192.168.1.4 53174 20003 6,DISABLE_UNSOLICITED
192.168.1.12 192.168.1.5 34359 20003 6,DISABLE_UNSOLICITED
192.168.1.12 192.168.1.9 40017 20003 6,DISABLE_UNSOLICITED
192.168.1.12 192.168.1.3 45423 20003 6,DISABLE_UNSOLICITED
192.168.1.12 192.168.1.8 57229 20003 6,DISABLE_UNSOLICITED
192.168.1.12 192.168.1.10 42776 20003 6,DISABLE_UNSOLICITED
192.168.1.12 192.168.1.6 57231 20003 6,DISABLE_UNSOLICITED
192.168.1.12 192.168.1.7 54309 20003 6,DISABLE_UNSOLICITED
192.168.1.2 192.168.1.8 38899 20000 6,NORMAL
192.168.1.2 192.168.1.3 47658 20000 6,NORMAL
192.168.1.2 192.168.1.4 48768 20000 6,NORMAL
192.168.1.2 192.168.1.6 52786 20000 6,NORMAL
192.168.1.2 192.168.1.9 49592 20000 6,NORMAL
192.168.1.2 192.168.1.10 40064 20000 6,NORMAL
192.168.1.2 192.168.1.5 50319 20000 6,NORMAL
192.168.1.2 192.168.1.7 33429 20000 6,NORMAL
192.168.1.1 192.168.1.3 45480 20001 6,DISABLE_UNSOLICITED
192.168.1.1 192.168.1.4 37319 20001 6,DISABLE_UNSOLICITED
192.168.1.1 192.168.1.5 40070 20001 6,DISABLE_UNSOLICITED
192.168.1.5 192.168.1.12 20003 34359 6,DISABLE_UNSOLICITED
192.168.1.1 192.168.1.9 49367 20001 6,DISABLE_UNSOLICITED
192.168.1.1 192.168.1.6 41489 20001 6,DISABLE_UNSOLICITED
192.168.1.1 192.168.1.10 36758 20001 6,DISABLE_UNSOLICITED
192.168.1.1 192.168.1.7 43417 20001 6,DISABLE_UNSOLICITED
192.168.1.1 192.168.1.8 39909 20001 6,DISABLE_UNSOLICITED
192.168.1.11 192.168.1.4 57101 20002 6,COLD_RESTART
192.168.1.11 192.168.1.7 55278 20002 6,COLD_RESTART
192.168.1.11 192.168.1.9 39338 20002 6,COLD_RESTART
192.168.1.11 192.168.1.10 58689 20002 6,COLD_RESTART
192.168.1.11 192.168.1.5 42312 20002 6,COLD_RESTART
192.168.1.11 192.168.1.8 49537 20002 6,COLD_RESTART
192.168.1.11 192.168.1.3 51222 20002 6,COLD_RESTART
192.168.1.11 192.168.1.6 56247 20002 6,COLD_RESTART
192.168.1.12 192.168.1.4 56526 20003 6,COLD_RESTART
192.168.1.12 192.168.1.3 46578 20003 6,COLD_RESTART
192.168.1.12 192.168.1.5 37363 20003 6,COLD_RESTART
192.168.1.12 192.168.1.8 43941 20003 6,COLD_RESTART
192.168.1.12 192.168.1.10 55149 20003 6,COLD_RESTART
192.168.1.12 192.168.1.9 57817 20003 6,COLD_RESTART
192.168.1.12 192.168.1.7 52856 20003 6,COLD_RESTART
192.168.1.12 192.168.1.6 36519 20003 6,COLD_RESTART
192.168.1.5 192.168.1.12 20003 37363 6,COLD_RESTART
192.168.1.9 192.168.1.12 20003 57817 6,COLD_RESTART
192.168.1.8 192.168.1.12 20003 43941 6,COLD_RESTART
192.168.1.7 192.168.1.12 20003 52856 6,COLD_RESTART
192.168.1.10 192.168.1.12 20003 55149 6,COLD_RESTART
192.168.1.2 192.168.1.3 54543 20000 6,NORMAL
192.168.1.1 192.168.1.3 40709 20001 6,COLD_RESTART
192.168.1.2 192.168.1.4 60224 20000 6,NORMAL
192.168.1.1 192.168.1.4 45297 20001 6,COLD_RESTART
192.168.1.2 192.168.1.5 42481 20000 6,NORMAL
